Date,Open,High,Low,Close,Volume
10-Oct-17,55.37,55.72,55.15,55.61,12800536
9-Oct-17,55.62,55.70,54.92,55.14,11377035
6-Oct-17,55.48,55.68,55.22,55.58,11151225
5-Oct-17,55.00,55.77,54.78,55.39,14560658
4-Oct-17,55.31,55.35,54.90,54.96,14697750
3-Oct-17,55.33,55.62,54.85,55.58,17405089
2-Oct-17,55.16,55.47,54.86,55.47,11764416
29-Sep-17,54.25,55.23,54.09,55.15,20872334
28-Sep-17,54.29,54.33,53.74,54.25,14531655
27-Sep-17,54.47,54.53,54.06,54.21,15646789
26-Sep-17,54.10,54.28,53.76,53.80,12052460
25-Sep-17,54.07,54.32,53.55,54.03,11595884
22-Sep-17,53.92,54.36,53.75,54.25,18047820
21-Sep-17,53.55,54.24,53.52,54.06,16210868
20-Sep-17,53.39,54.11,53.28,53.75,21560419
19-Sep-17,52.72,53.59,52.53,53.36,17046989
18-Sep-17,51.67,52.84,51.61,52.71,20943426
15-Sep-17,51.28,51.68,51.25,51.66,28494345
14-Sep-17,51.54,51.72,51.08,51.29,13739413
13-Sep-17,51.39,51.51,51.18,51.46,12617331
12-Sep-17,50.85,51.73,50.84,51.57,17129536
11-Sep-17,50.00,50.80,49.94,50.66,17987052
8-Sep-17,49.61,49.98,49.43,49.58,18975665
7-Sep-17,49.94,49.94,49.27,49.68,23367261
6-Sep-17,50.25,50.27,49.56,49.88,26854049
5-Sep-17,50.63,50.67,49.76,50.10,31251308
1-Sep-17,51.06,51.49,50.93,50.97,16217688
31-Aug-17,51.00,51.24,50.87,51.07,25231147
30-Aug-17,51.46,51.74,51.20,51.36,11427543
29-Aug-17,51.21,51.50,51.13,51.42,10715516
28-Aug-17,51.95,52.02,51.42,51.63,12425896
25-Aug-17,52.27,52.57,51.76,51.77,15307840
24-Aug-17,52.19,52.53,52.04,52.16,12345029
23-Aug-17,51.83,52.48,51.80,52.03,10019524
22-Aug-17,51.95,52.27,51.92,52.22,12984102
21-Aug-17,51.74,51.91,51.40,51.82,13503090
18-Aug-17,51.63,52.14,51.38,51.68,17130641
17-Aug-17,52.47,52.63,51.79,51.80,16814287
16-Aug-17,53.01,53.21,52.46,52.69,11224409
15-Aug-17,53.20,53.36,52.83,52.85,11028101
14-Aug-17,52.37,53.09,52.34,52.84,16313225
11-Aug-17,51.83,52.21,51.74,51.94,14714450
10-Aug-17,52.39,52.72,51.92,51.95,18373022
9-Aug-17,52.28,52.81,52.14,52.79,14631563
8-Aug-17,52.32,53.30,52.22,52.71,24877808
7-Aug-17,52.73,52.95,52.43,52.54,22673681
4-Aug-17,53.67,53.70,51.91,52.84,44664559
3-Aug-17,53.50,53.66,53.34,53.40,19374704
2-Aug-17,53.54,53.96,53.45,53.62,19422130
1-Aug-17,54.23,54.39,53.85,54.08,19350259
31-Jul-17,-,54.22,-,53.94,20378065
28-Jul-17,54.30,54.57,53.18,53.30,32590568
27-Jul-17,54.86,54.96,54.39,54.71,17352646
26-Jul-17,55.32,55.33,54.81,54.91,19686938
25-Jul-17,55.00,55.40,54.91,55.06,20167835
24-Jul-17,54.10,54.41,54.04,54.27,18489859
21-Jul-17,54.43,54.62,54.10,54.17,17384457
20-Jul-17,54.96,55.31,54.68,54.88,15123488
19-Jul-17,54.80,55.21,54.69,54.94,12366197
18-Jul-17,54.31,54.92,54.23,54.80,13603344
17-Jul-17,54.90,54.98,54.44,54.71,14953583
14-Jul-17,54.31,55.20,54.12,54.99,17949644
13-Jul-17,55.26,55.67,55.06,55.60,14201775
12-Jul-17,54.93,55.24,54.60,55.17,11951527
11-Jul-17,55.66,55.71,54.82,55.04,14842691
10-Jul-17,55.53,55.81,55.34,55.59,10978963
7-Jul-17,55.78,55.83,55.24,55.74,11503450
6-Jul-17,55.98,56.32,55.50,55.56,14481179
5-Jul-17,55.97,56.02,55.34,55.78,14086881
3-Jul-17,55.81,56.45,55.71,55.78,11825311
30-Jun-17,56.03,56.05,55.16,55.41,16750704
29-Jun-17,55.65,56.60,55.21,55.78,32552121
28-Jun-17,53.61,54.42,53.52,54.33,20961669
27-Jun-17,53.02,53.66,52.90,53.16,13496348
26-Jun-17,52.73,53.43,52.59,52.90,12532812
23-Jun-17,52.70,52.82,52.32,52.45,21868452
22-Jun-17,52.80,52.89,52.22,52.49,15362168
21-Jun-17,53.47,53.48,52.80,52.98,12653747
20-Jun-17,54.06,54.10,53.42,53.46,13622247
19-Jun-17,54.31,54.64,54.12,54.24,15367253
16-Jun-17,53.93,54.24,53.65,53.89,23492702
15-Jun-17,54.04,54.45,53.81,53.90,17232258
14-Jun-17,54.09,54.64,53.57,54.53,16574994
13-Jun-17,54.35,54.69,54.28,54.45,17965974
12-Jun-17,53.98,54.58,53.94,54.09,22791380
9-Jun-17,52.86,53.95,52.80,53.80,25749954
8-Jun-17,52.00,53.03,51.88,52.56,22644201
7-Jun-17,51.84,52.31,51.70,52.09,17022350
6-Jun-17,51.32,52.03,51.24,51.81,14887538
5-Jun-17,51.71,52.18,51.66,51.72,13663770
2-Jun-17,51.67,52.24,51.53,51.81,19477314
1-Jun-17,51.53,52.21,51.06,52.08,21001799
31-May-17,52.23,52.25,50.83,51.14,30519660
30-May-17,52.16,52.50,51.90,52.16,19379725
26-May-17,52.63,52.81,52.37,52.41,14247740
25-May-17,53.25,53.25,52.57,52.78,16643765
24-May-17,53.49,53.61,52.80,53.09,11363414
23-May-17,53.01,53.56,52.85,53.39,11751719
22-May-17,53.27,53.32,52.50,53.01,13946952
19-May-17,52.57,53.34,52.39,53.06,16894978
18-May-17,52.31,52.96,51.95,52.38,19790140
17-May-17,52.04,52.65,51.65,52.24,33173088
16-May-17,53.40,53.44,52.95,53.26,12650066
15-May-17,53.06,53.42,53.02,53.32,15245047
12-May-17,53.30,53.32,52.54,53.02,29642325
11-May-17,54.28,54.42,53.06,53.74,32200089
10-May-17,54.43,54.91,54.36,54.72,15897244
9-May-17,55.14,55.37,54.45,54.68,14402868
8-May-17,55.12,55.29,54.75,55.04,14242805
5-May-17,55.25,55.38,54.88,55.11,13078783
4-May-17,55.27,55.60,54.87,55.18,17054067
3-May-17,54.01,54.89,53.95,54.85,15737118
2-May-17,54.46,54.61,54.06,54.54,15634864
1-May-17,54.10,54.75,53.97,54.46,13915807
28-Apr-17,54.33,54.58,53.73,53.84,16501919
27-Apr-17,54.54,54.65,53.91,54.44,13978030
26-Apr-17,54.60,55.07,54.36,54.54,15915542
25-Apr-17,54.33,55.09,54.29,54.56,27061299
24-Apr-17,54.15,54.34,53.59,53.65,23856688
21-Apr-17,53.39,53.84,52.95,53.00,26177343
20-Apr-17,52.72,53.59,52.43,53.50,31552904
19-Apr-17,52.88,53.14,52.05,52.15,17414622
18-Apr-17,52.36,52.66,52.09,52.45,22257525
17-Apr-17,51.64,52.76,51.26,52.72,31959061
13-Apr-17,51.80,52.75,51.35,51.35,47981952
12-Apr-17,53.95,54.02,53.05,53.12,25601266
11-Apr-17,54.23,54.26,53.26,54.16,28086812
10-Apr-17,54.99,55.25,54.32,54.54,14607683
7-Apr-17,54.94,55.31,54.61,54.84,15848831
6-Apr-17,54.95,55.65,54.70,55.37,10387536
5-Apr-17,55.79,56.20,54.93,54.98,17411708
4-Apr-17,55.30,55.33,54.98,55.20,11937360
3-Apr-17,55.70,55.82,54.79,55.49,14550739
31-Mar-17,56.02,56.18,55.62,55.66,11864615
30-Mar-17,55.68,56.43,55.61,56.24,12106538
29-Mar-17,55.94,56.09,55.55,55.67,10329113
28-Mar-17,55.35,56.25,55.24,55.96,14878890
27-Mar-17,54.63,55.58,54.24,55.39,16854761
24-Mar-17,55.50,56.05,55.22,55.83,21127464
23-Mar-17,55.23,55.99,54.98,55.25,18999983
22-Mar-17,55.53,55.57,54.85,55.33,27740860
21-Mar-17,57.93,57.96,55.63,55.85,31766385
20-Mar-17,58.47,58.47,57.62,57.63,17663194
17-Mar-17,59.37,59.41,58.52,58.67,20985674
16-Mar-17,58.86,59.41,58.76,59.32,18468200
15-Mar-17,58.90,59.31,58.36,58.71,17777338
14-Mar-17,58.49,58.81,58.24,58.76,10885031
13-Mar-17,58.83,59.03,58.52,58.70,14063472
10-Mar-17,58.98,59.18,58.52,58.85,15120176
9-Mar-17,58.46,58.87,58.20,58.70,15721476
8-Mar-17,58.95,59.13,58.16,58.21,14711295
7-Mar-17,58.43,58.52,58.02,58.30,13099877
6-Mar-17,58.54,58.88,58.18,58.61,13225468
3-Mar-17,58.85,59.24,58.67,58.89,14753743
2-Mar-17,59.78,59.79,58.56,58.71,17578616
